transaction_id,parent,parent_type,child,child_type,rel_type,date
2154-05_tr_01,"Minister of Tourism and Civil Aviation",minister,S. M. Mohamed,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_02,"Minister of Roads and Highways",minister,R. W. R. Pemasiri,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_03,"Minister of Finance, Economic and Policy Development",minister,S. R. Attygalle,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_04,"Minister of Justice, Human Rights & Law Reforms",minister,J. J. Rathnasiri,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_05,Minister of Plantation Industries and Export Agriculture,minister,Ravindra Hewavitharana,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_06,Minister of Industries and Supply Chain Management,minister,J. A. Ranjith,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_07,"Minister of Higher Education, Technology and Innovation",minister,D. M. A. R. B. Dissanayake,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_08,Minister of Transport Services Management,minister,H. M. Gamini Seneviratne,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_09,Minister of Sports and Youth Affairs,minister,K. D. S. Ruwanchandra,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_10,Minister of Information and Communication Technology,minister,W. A. Chulananda Perera,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_11,Minister of Power & Energy,minister,Wasantha Perera,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_12,Minister of Ports and Shipping,minister,M. M. P. K. Mayadunne,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_13,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",minister,S. Hettiarachchi,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_14,Minister of Foreign Relations,minister,R. P. Aryasinghe,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_15,Minister of Women & Child Affairs and Social Security,minister,A. S. M. S. Mahanama,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_16,Minister of Environment and Wildlife Resources,minister,J. M. C. Jayanthi Wijetunga,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_17,Minister of Lands & Land Development,minister,R. A. A. K. Ranawaka,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_18,"Minister of Skills Development, Employment and Labour Relations",minister,D. M. S. Abeygunawardana,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_19,Minister of Education,minister,N. H. M. Chithrananda,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_20,Minister of Industrial Export and Investment Promotion,minister,M. P. D. U. K. Mapa Pathirana,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_21,Minister of Fisheries & Aquatic Resources,minister,R. M. I. Rathnayake,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_22,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development",minister,H. K. D. W. M. N. B. Hapuhinna,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_23,"Minister of Buddhasasana, Cultural and Religious Affairs",minister,M. K. B. Harishchandra,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_24,Minister of Healthcare and Indigenous Medical Services,minister,P. S. M. Charles,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_25,Minister of Community Empowerment and Estate Infrastructure Development,minister,D. P. G. Kumarasiri,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_26,Minister of Small & Medium Business and Enterprise Development,minister,N. B. Monti Ranatunga,citizen,SECRETARY_APPOINTED,2019-12-16
2154-05_tr_27,"Minister of Urban Development, Water Supply and Housing Facilities",minister,Priyath Bandu Wickrema,citizen,SECRETARY_APPOINTED,2019-12-16
